	Source Name	Assay Name	x	y	z	unit
0	17A1DC6394	membranes_pea3fish	0.0852	0.0852	0.1867	microns
1	1D01C63CEE	membranes_pea3fish	0.0852	0.0852	0.1867	microns
2	2EF96EDA6E	membranes_pea3fish	0.0852	0.0852	0.1867	microns
3	3CBF362B2A	membranes_pea3fish	0.0852	0.0852	0.1867	microns
4	42D75830F4	membranes_pea3fish	0.0852	0.0852	0.1867	microns
5	4404F99D93	membranes_pea3fish	0.0852	0.0852	0.1867	microns
6	465ED01E64	membranes_pea3fish	0.0852	0.0852	0.1867	microns
7	4E2807EBE0	membranes_pea3fish	0.0852	0.0852	0.1867	microns
8	50A3A129F9	membranes_pea3fish	0.0852	0.0852	0.1867	microns
9	5289DAC61C	membranes_pea3fish	0.0852	0.0852	0.1867	microns
10	5AFF045EBD	membranes_pea3fish	0.0852	0.0852	0.1867	microns
11	5F6D469A95	membranes_pea3fish	0.0852	0.0852	0.1867	microns
12	6ACC2844A6	membranes_pea3fish	0.0852	0.0852	0.1867	microns
13	6D2084BCB4	membranes_pea3fish	0.0852	0.0852	0.1867	microns
14	7386DF8F0F	membranes_pea3fish	0.0852	0.0852	0.1867	microns
15	74FF349E2F	membranes_pea3fish	0.0852	0.0852	0.1867	microns
16	793CBAF665	membranes_pea3fish	0.0852	0.0852	0.1867	microns
17	80759AC74C	membranes_pea3fish	0.0852	0.0852	0.1867	microns
18	8C802060C6	membranes_pea3fish	0.0852	0.0852	0.1867	microns
19	96F0FB9612	membranes_pea3fish	0.0852	0.0852	0.1867	microns
20	991A69891C	membranes_pea3fish	0.0852	0.0852	0.1867	microns
21	9ABCF1CE23	membranes_pea3fish	0.0852	0.0852	0.1867	microns
22	C8D718E52D	membranes_pea3fish	0.0852	0.0852	0.1867	microns
23	CFDAF9893E	membranes_pea3fish	0.0852	0.0852	0.1867	microns
24	D38A387250	membranes_pea3fish	0.0852	0.0852	0.1867	microns
25	D8EF7BBD36	membranes_pea3fish	0.0852	0.0852	0.1867	microns
26	E2F8A41369	membranes_pea3fish	0.0852	0.0852	0.1867	microns
27	EE5CF455D9	membranes_pea3fish	0.0852	0.0852	0.1867	microns
28	EF83427BD6	membranes_pea3fish	0.0852	0.0852	0.1867	microns
29	F3070ACF4F	membranes_pea3fish	0.0852	0.0852	0.1867	microns
30	F36714457C	membranes_pea3fish	0.0852	0.0852	0.1867	microns
